player_name,school,projected_pick,age,birthdate
Carnell Tate,Ohio State,4,20,2005-01-19
Jordyn Tyson,Arizona State,7,21,2004-08-12
Makai Lemon,USC,16,21,2004-06-02
Denzel Boston,Washington,24,21,2003-12-06
Kevin Concepcion,Texas A&M,27,20,2004-09-24
Chris Bell,Louisville,43,MISSING,MISSING
Elijah Sarratt,Indiana,44,22,2003-05-28
Zachariah Branch,Georgia,47,21,2004-03-29
Germie Bernard,Alabama,52,21,2003-12-02
Chris Brazzell,Tennessee,53,22,2003-09-22
Ja'Kobi Lane,USC,65,21,2004-08-05
Omar Cooper Jr.,Indiana,76,21,2003-12-14
Antonio Williams,Clemson,85,21,2004-07-14
Skyler Bell,UConn,88,23,2002-07-05
Malachi Fields,Notre Dame,89,22,MISSING
C.J. Daniels,Miami,112,24,2002-01-04
Brenen Thompson,Mississippi State,113,22,2003-07-25
Deion Burks,Oklahoma,121,22,2003-01-08
Ted Hurst,Georgia State,132,MISSING,MISSING
Bryce Lance,North Dakota State,150,23,2001-09-20
Kevin Coleman Jr.,Missouri,162,21,2003-09-10
Eric McAlister,TCU,171,22,MISSING
Eric Rivers,Georgia Tech,178,22,MISSING
Lewis Bond,Boston College,185,22,MISSING
De'Zhaun Stribling,Ole Miss,186,22,2002-12-18
Keelan Marion,Miami,193,24,2002-06-22
Josh Cameron,Baylor,194,22,2003-03-18
Noah Thomas,Georgia,196,21,2004-01-13
Aaron Anderson,LSU,199,22,2002-12-02
Dane Key,Nebraska,202,22,2003-07-01
Jordan Hudson,SMU,211,22,2003-11-22
Caleb Douglas,Texas Tech,212,21,2003-09-09
Reggie Virgil,Texas Tech,216,21,2004-05-14
Vinny Anthony II,Wisconsin,224,MISSING,MISSING
Caullin Lacy,Louisville,231,23,2001-12-22
Kendrick Law,Kentucky,250,22,2003-06-13
Colbie Young,Georgia,250,23,2002-07-24
Kaden Wetjen,Iowa,250,23,2002-03-09
Chris Hilton,LSU,250,22,2002-10-11
Malik Benson,Oregon,250,22,2002-10-17
Jeff Caldwell,Cincinnati,250,MISSING,MISSING
Hank Beatty,Illinois,250,21,2003-09-20
Eli Heidenreich,Navy,250,23,2002-05-15
Harrison Wallace III,Ole Miss,250,22,2003-04-23
Jaden Greathouse,Notre Dame,250,20,2004-10-29
J.Michael Sturdivant,Florida,250,22,2002-09-06
Dillon Bell,Georgia,250,22,2003-11-06
Barion Brown,LSU,250,21,2003-12-12
Jordan Dwyer,TCU,250,MISSING,MISSING
Griffin Wilde,Northwestern,250,MISSING,MISSING
Jalil Farooq,Maryland,250,23,2001-09-13
Amare Thomas,Houston,250,19,2005-11-18
Romello Brinson,SMU,250,22,MISSING
Jalen Walthall,Incarnate Word,250,MISSING,MISSING
Chase Roberts,BYU,250,MISSING,MISSING
Emmanuel Henderson,Kansas,250,22,2003-03-21
Zavion Thomas,LSU,250,20,2004-09-14
Trebor Pena,Penn State,250,23,2002-02-21
Hykeem Williams,Colorado,250,21,2003-11-18
Jaquaize Pettaway,East Carolina,250,20,MISSING
Shelton Sampson Jr.,Louisiana,250,20,2005-04-18
Raymond Cottrell,Texas A&M,250,20,MISSING
Nathan Leacock,North Carolina,250,21,2004-11-22
Anthony Evans III,Mississippi State,250,20,2005-06-20
Jalen Brown,Arkansas,250,20,MISSING
Brandon Inniss,Ohio State,250,20,2004-10-07
Ryan Niblett,Texas,250,20,2004-11-17
Cordale Russell,Colorado,250,20,MISSING
Ayden Williams,Mississippi State,250,20,MISSING
Braylon James,Notre Dame,250,20,MISSING
London Humphreys,Georgia,250,20,2005-05-13
Tyler Brown,Clemson,250,20,2005-06-14
Mikey Matthews,UCLA,250,20,MISSING
Antonio Gates Jr.,Michigan State,250,21,2003-10-06
C.J. Williams,Stanford,250,MISSING,MISSING
Andre Greene Jr.,Virginia,250,MISSING,MISSING
Kobe Prentice,Baylor,250,21,2004-03-10
Kyion Grayes,California,250,MISSING,MISSING
Braylin Presley,Tulsa,250,21,2003-10-24
Talyn Shettron,Oklahoma State,250,MISSING,MISSING
Tobias Merriweather,Utah,250,MISSING,MISSING
Kaleb Brown,UAB,250,21,2003-10-07
Jayden McGowan,Charlotte,250,MISSING,MISSING
Squirrel White,Florida State,250,21,2004-05-05
Jaron Glover,Michigan State,250,MISSING,MISSING
Justus Ross-Simmons,Syracuse,250,MISSING,MISSING
Jayden Ballard,Wisconsin,250,22,MISSING
Christian Leary,Western Michigan,250,22,MISSING
JoJo Earle,UNLV,250,22,2003-04-05
Dacari Collins,Louisville,250,22,2002-11-04
Cody Jackson,Tarleton State,250,22,MISSING
Kyron Ware-Hudson,Penn State,250,MISSING,MISSING
Malik McClain,Arizona State,250,22,MISSING
Deion Colzie,Miami (OH),250,22,2003-07-28
Jerand Bradley,Kansas State,250,22,2002-10-10
Andrel Anthony,Duke,250,23,2002-01-07
Jayden Thomas,Virginia,250,22,2002-10-18
Rara Thomas,Troy,250,23,2002-07-28
Cyrus Allen,Cincinnati,250,22,MISSING
Jared Brown,South Carolina,250,22,MISSING
Jaden Bray,West Virginia,250,23,2002-08-06
Joseph Manjack IV,TCU,250,22,MISSING
Max Tomzcak,Northern Illinois,250,MISSING,MISSING
E.J. Williams,Indiana,250,23,MISSING
Ja'Mori Maclin,Kentucky,250,23,MISSING
Ja'Varrius Johnson,Auburn,250,25,2000-10-07
Donavon Greene,Virginia Tech,250,MISSING,MISSING
