player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,production_score,speed_score,te_breakout_score,te_production_score,ras_score,breakout_age,peak_dominator,rush_yards,rec_yards,team_pass_att,pos_rank
Jeremiyah Love,RB,Notre Dame,2026,9,1,97.2,80.09,96.4,56.1,2026_prospect,,,,57.1,49.7,,,,,,,280.0,322.0,1
Emmett Johnson,RB,Nebraska,2026,74,3,86.7,64.65,77.5,58.8,2026_prospect,,,,61.5,42.6,,,,,,,370.0,378.0,2
Jonah Coleman,RB,Washington,2026,73,3,85.4,63.61,78.3,55.3,2026_prospect,,,,57.4,42.6,,,,,,,354.0,370.0,3
Eli Heidenreich,RB,Navy,2026,223,7,70.0,54.09,13.3,91.7,2026_prospect,,,,99.9,42.6,,,,,,,941.0,182.0,4
Jadarian Price,RB,Notre Dame,2026,61,2,70.0,54.18,82.3,21.7,2026_prospect,,,,17.0,49.7,,,,,,,87.0,322.0,4
Mike Washington Jr.,RB,Arkansas,2026,100,3,66.0,51.85,68.2,35.4,2026_prospect,,,,34.2,42.6,,,,,,,226.0,381.0,6
Nick Singleton,RB,Penn State,2026,115,4,65.2,51.31,62.1,40.9,2026_prospect,,,,40.6,42.6,,,,,,,219.0,339.0,7
Kaytron Allen,RB,Penn State,2026,101,4,51.1,45.02,68.2,16.4,2026_prospect,,,,12.0,42.6,,,,,,,68.0,339.0,8
Adam Randall,RB,Clemson,2026,190,6,28.7,38.43,26.5,35.0,2026_prospect,,,,33.7,42.6,,,,,,,254.0,474.0,9
Demond Claiborne,RB,Wake Forest,2026,172,5,24.7,37.25,32.9,24.7,2026_prospect,,,,21.7,42.6,,,,,,,140.0,406.0,10
Roman Hemby,RB,Indiana,2026,183,6,21.7,36.22,28.2,26.0,2026_prospect,,,,23.2,42.6,,,,,,,165.0,406.0,11
J'Mari Taylor,RB,Virginia,2026,207,6,21.2,34.94,19.9,31.3,2026_prospect,,,,29.4,42.6,,,,,,,253.0,492.0,12
Desmond Reid,RB,Pittsburgh,2026,250,7,19.0,33.73,4.1,42.9,2026_prospect,,,,42.9,42.6,,,,,,,317.0,464.0,13
Seth McGowan,RB,Kentucky,2026,191,6,18.6,33.35,26.5,20.8,2026_prospect,,,,17.2,42.6,,,,,,,126.0,367.0,14
Barika Kpeenu,RB,North Dakota State,2026,250,7,18.6,33.57,4.1,42.4,2026_prospect,,,,42.4,42.6,,,,,,,211.0,270.0,14
Dean Connors,RB,Houston,2026,250,7,17.3,32.97,4.1,40.7,2026_prospect,,,,40.4,42.6,,,,,,,254.0,377.0,16
Jamal Haynes,RB,Georgia Tech,2026,250,7,17.3,32.58,4.1,39.6,2026_prospect,,,,39.1,42.6,,,,,,,257.0,394.0,16
Kaelon Black,RB,Indiana,2026,182,6,14.2,30.91,29.1,10.4,2026_prospect,,,,5.1,42.6,,,,,,,36.0,406.0,18
Kaden Feagin,RB,Illinois,2026,250,7,12.0,30.37,4.1,33.3,2026_prospect,,,,31.8,42.6,,,,,,,188.0,372.0,19
Robert Henry Jr.,RB,UTSA,2026,215,6,11.5,29.26,16.8,17.9,2026_prospect,,,,13.8,42.6,,,,,,,114.0,448.0,20
